,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
29, شازده کوچولو,آنتوان دو سنت اگزوپری‌,احمد شاملو,ابوالحسن تهامی‌  ،                                                                                                             بهاره رهنما  ،                                                                                                             ژرژ پطروسی,"۱۰,۰۰۰ ", نگاه,۱۳۹۷/۱۲/۱۲, فارسی," 62.16 
                        ",آن‌چه در بالا خواندید بررسی و نقد کتاب صوتی شازده کوچولو اثر آنتوان دو سنت اگزوپری بود.خرید و دانلود این اثر در همین صفحه امکان‌پذیر است. برای مطالعه‌ی دیگر کتاب‌ها در زمینه‌ی داستان‌های فرانسوی قرن بیستم می‌توانید به قسمت دسته‌بندی کتاب‌ها مراجعه و کتاب‌های این موضوع را یکجا مشاهده کنید.,داستان و رمان فرانسه,https://newcdn.fidibo.com/images/books/88132_11564_normal.jpg
30, دروغگویی روی مبل,اروین یالوم,حسین کاظمی‌یزدی,فرهاد اتقیایی  ،                                                                                                             کامبیز خلیلی  ،                                                                                                             هوتن شاطری‌پور,"۴۲,۰۰۰ ", کتاب‌سرای نیک,۱۳۹۸/۱۰/۱۵, فارسی," 518.18 
                        ",اروین یالوم نویسنده‌ای است که به خوبی در داستان‌های خود مشکلات روانی و ذهنی انسان امروز را به تصویر می‌کشد و به عنوان یک روان‌درمانگر حرفه‌ای برای هر یک از این مسائل راهکارها و پاسخ‌هایی را ارائه می‌دهد. کتاب صوتی دروغ‌گویی روی مبل داستانی جذاب و شنیدنی از سه روان‌درمانگر و روابط آن‌ها با بیمارانشان است. خواننده در لحظه‌لحظه‌ی شنیدن این کتاب می‌تواند شخصیت خود را از پس یکی از افراد داستان پیدا کند و با او همزادپنداری کند. نکته‌ی جالب درباره‌ی این کتاب این است که اگرچه موضوع آن به روابط بیمار و روان‌درمانگر می‌پردازد اما در نهایت شما قادر خواهید بود که راه‌حلی برای درمان ضعف‌های خود بیابید و نحوه‌ی رفتار درست نسبت به مشکلات خود را بیاموزید.,روانکاوی,https://newcdn.fidibo.com/images/books/96258_73620_normal.jpg
31, مردی به نام اوه,فردریک بکمن,حسین تهرانی,آرمان سلطان‌زاده,"۴۳,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 701.12 
                        ",اینکه همیشه میگویند آدم ها را قضاوت نکن حرف درستی است. قضاوت زودهنگام باعث جدایی و دوری آدم‌ها از هم می‌شود. به‌عنوان مثال اگر شما همسایه یک پیرمرد غرغرو و بداخلاق باشید نباید چنین تصوری داشته باشید که او همیشه این طور است. بلکه دوستی و صمیمیت با اوست که باعث شناخت بیشتر از یکدیگر می‌شود. اوه در کتاب صوتی مردی به نام اوه هم چنین شخصیتی دارد. مردی به ظاهر خشک و جدی اما مهربان و دلنشین.,داستان و رمان آلمان,https://newcdn.fidibo.com/images/books/84028_14845_normal.jpg
32, سه شنبه‌ها با موری,میچ البوم,ماندانا قهرمانلو,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 412.58 
                        ",«کتابی با نگارش عالی، سخنی روشن از خرد و فراست که از روی عشق، سادگی در فراسوی پیچیدگی‌های زندگی را ترسیم کرده است.» این جملات را دکتر اسکات پک درباره‌ی کتاب سه‌شنبه‌ها با موری گفته است. کتابی بسیار مهم و تأثیرگذار درباره‌ی معنای زندگی از نویسنده و روزنامه‌نگار آمریکایی «میچ آلبوم». نویسنده‌ی کتاب‌های «اولین تماس تلفنی از بهشت» کتابی نوشته است که امروز، پس از بیش از بیست سال از نخستین انتشار آن هنوز هم یکی از پرفروش‌ترین کتاب‌های دنیاست. ,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/82103_93369_normal.jpg
33, قلعه حیوانات,جورج اورول‌,امیر امیرشاهی,بیژن  گنجعلی  ،                                                                                                             میرطاهر مظلومی  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۸/۱۹, فارسی," 212.24 
                        ",کتاب مزرعه حیوانات یکی از پرمخاطب‌ترین کتاب‌های دنیا است. این کتاب نه فقط مناسب اعتراض و کنایه به نظام شوروی بلکه مناسب برای اعتراض به تمامی دولت‌ها است. نمادهای این کتاب هیچگاه قدیمی نمی‌شوند. اگر نگاهی به اطرافتان بیاندازید قطعا معانی این نمادها را دقیقا در کنار خودتان خواهید دید.,نمایشنامه,https://newcdn.fidibo.com/images/books/94546_63848_normal.jpg
34, آینه,محمود دولت‌آبادی,None,میلاد تمدن,None,ماه آوا,۱۳۹۶/۱۲/۰۱, فارسی," 14.8 
                        ",«کلیدر»، «جای خالی سلوچ»، «ادبار و آینه»، «بنی آدم» و «طریق بسمل شدن» از جمله آثار گران‌بها و ماندگار ادبیات فارسی است که در سده‌ی گذشته به قلم محمود دولت‌‎آبادی نوشته شده است. «کلیدر» که نمونه‌ی شاهکار از محمود دولت‌‎آبادی است در چند جلد نگاشته شده‌ و بسیار طولانی است و ممکن است بعضی از افراد برای خواندن آن‌ زمان کافی را نداشته‌ باشند پس خواننده می‌تواند به سراغ آثار کوتاه این نویسنده‌ برود. داستان‌های کوتاه این نویسنده مانند کتاب صوتی آینه کم از ارزش آثار بلند او ندارند و خواننده می‌تواند با مطالعه‌ی آن‌ها از قلم توانای محمود دولت‌‎آبادی بهره ببرد.,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/82307_51925_normal.jpg
35, گربه زیر باران,ارنست همینگوی,زهرا تدین,میلاد تمدن,None,ماه آوا,۱۳۹۷/۰۳/۰۱, فارسی," 12.1 
                        ","
                                    داستان گربه زیر باران ، داستانی کوتاه از ارنست همینگوی از نویسندگان برجستهٔ معاصر ایالات متحده آمریکا و برندهٔ جایزه نوبل ادبیات است.                                                                    ",None,https://newcdn.fidibo.com/images/books/82316_54026_normal.jpg
36, کیمیاگر,پائولو کوئیلو,حسین نعیمی,احمد گنجی,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 424.21 
                        ",اگر به دنبال کتاب می‌گردید که روز و شب ذهن شما را درگیر کند و شما را به سمت یک زندگی بهتر سوق دهد شک نداشته باشید که کتاب کیمیاگر اثر پائولو کوئیلو این ویژگی را دارد. سبک نوشتاری این کتاب آنقدر لطیف است که خواننده تمایل به خواندن دوباره‌ی کتاب‌ و همه‌ی سطرهای آن خواهد داشت. کیمیاگر درباره‌ی فلسفه‌ی زندگی است؛ موضوعی که هرروزه برای یافتن پاسخش روزها را صرف می‌کنیم و شب‌ها را بیدار می‌مانیم. ‌,داستان و رمان آمریکای جنوبی,https://newcdn.fidibo.com/images/books/82084_31899_normal.jpg
37, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۷/۲۴, فارسی," 38.36 
                        ","
                                    گرامافون مجموعه‌ای است از قصه‌های عامیانه‌ی ایران که «شرمین نادری» آن‌ها را جمع‌آوری و بازنویسی کرده و با صدای خاطره‌انگیز «بهرام شاه‌محمدلو» اجرا شده‌اند. قصه‌هایی کوتاه از تمام اقوام و نواحی ایران.

** این قصه‌ها ممکن است برای گروه‌های سنی کودکان مناسب نباشد.

«پری جان» قصه‌ی دختری است از قوم کرمانج که کسی در اطرافیان او نیست که زیبایی‌اش را تحسین نکند. دختری که همه‌ی پسران جوانی که او را دیده‌اند، آرزوی وصالش را دارند.
اما روزگار همیشه بر وفق مراد نیست و ماجرا وقتی آغاز می‌شود که راهزنی یاغی، دل‌باخته‌ی پری جان می‌شود و تصمیم می‌گیرد به هر نحوی، او را تصاحب کند.                                                                    ",داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/121662_88167_normal.jpg
38, مرگ ایوان ایلیچ,لئو تولستوی,سروش حبیبی,محسن زرآبادی‌پور,"۲۶,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 192.29 
                        ",مرگ اگرچه مفهومی مشترک میان همه موجودات است اما می‌توان گفت برای هر انسانی مقابله و رویارویی با مرگ متفاوت است. گاهی مرگ انسان را به شکل عجیبی غافلگیر می‌کند و گاهی مثل یک دوست او را همراهی می‌کند تا در نهایت او را به مقصد اصلی‌اش برساند؛ اما لئون تولستوی در داستان مرگ ایوان ایلیچ روایت متفاوتی از مواجه با مرگ دارد. داستانی اگرچه کوتاه ولی به شدت عمیق و تاثیرگذار.,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/84501_22375_normal.jpg
39, هری پاتر و حفره اسرار آمیز,جی.کی رولینگ,ویدا اسلامیه,آرمان سلطان‌زاده,"۵۰,۰۰۰ ",آوانامه,۱۳۹۹/۰۵/۲۰, فارسی," 666.4 
                        ","
                                    * دنیای مخفی جادو
یکی از ژانرهای پرمخاطب که گروه‌های سنی متفاوت را به خود جذب کرده ژانر فانتزی و تخیلی است که کتاب‌ «هری پاتر» را می‌توان یکی از معروف‌ترین آن‌ها برشمرد. این اثر نام مجموعه‌ای از رمان‌هایی به سبک خیال‌پردازانه به قلم ج. کی. رولینگ است. این مجموعه به شرح ماجراهای یک جادوگر نوجوان به نام هری پاتر به همراه بهترین دوستانش، رون ویزلی و هرمیون گرنجر، در مدرسه‌ی علوم و فنون جادوگری هاگوارتز می‌پردازد که در تلاش است بر جادوگر سیاه غلبه کند. هری پاتر در واقع یک مجموعه با چندین ژانر، ازجمله فانتزی و گذر عمر است که دارای معانی فرهنگی بسیاری می‌باشد. به عبارتی نویسنده این اثر پر مخاطب با نثری روان و ملموس در پی به تصویر کشیدن مفاهیم خیر و شر و ارزش‌هایی چون شجاعت، عشق و وفاداری است. رولینگ در این مورد می‌‎گوید:
«موضوع اصلی داستان مرگ است، همچنین بسیاری از موضوعات دیگر در این سری، مانند عشق و تعصب وجود دارد.»

* نکات خواندنی
- ناشران اصلی و اولیه، کتاب‌سرای بلومزبری در انگلستان و انتشارات اسکولاستیک در ایالات متحده بودند.
- در اکتبر ۲۰۱۱، این مجموعه در فرمت‌های مختلف کتاب از طریق «پاترمور» منتشر شد.
- هری پاتر بالاترین مجموعه فیلم پرفروش در تمام دوران شناخته شد.
- سود تجاری هری پاتر بیش از ۱۵ میلیارد دلار است.
- این مجموعه‌ی داستانی به ۷۰ زبان و به‌طور تقریبی در ۴۵۰ میلیون نسخه منتشر شده‌است.
- کتاب‌های هری پاتر از پرفروش‌ترین کتاب‌های تاریخ بشر بوده‌اند.

* هری و حفره اسرارآمیز
هری دومین سال متوالی خود را در هاگوارتز می‌گذارند، او تعطیلات سال اول خود را به خانه دورسلی‌ها بازگشت و برای سال دوم دعوت‌نامه خود را در حالی که جن خانگی‌ای به‌نام «دابی» مانع از رفتن او به هاگوارتز می‌شد دریافت کرد. هری با تلاش فراوان خود را به هاگوارتز رساند و طی چند روز متوجه مکانی قدیمی در مدرسه شد که از آن به‌عنوان «حفره اسرارآمیز» یاد می‌شد و در آن موجودی ترسناک و کشنده زندگی می‌کرد...

* جی. کی. رولینگ
خالق پرفروش‌ترین کتاب تاریخ بشر جی. کی. رولینگ در سال ۱۹۶۵ در انگلستان به دنیا آمد. دوران کودکی خوبی را پشت سرگذاشت. بعد از اینکه در رشته ادبیات فرانسه از دانشگاه فارغ‌التحصیل شد در سازمان عفو بین‌الملل به‌عنوان مترجم و منشی مشغول به کار شد. دو سال بعد با یک روزنامه‌نگار پرتغالی آشنا شد. نام او «ژورگه آرانتس» بود. جوآن با آرزو و امید دل به این مرد داد اما زندگی آن‌ها دوام چندانی نداشت و رولینگ با دخترش به ادینبرو اسکاتلند مهاجرت کرد. سلامت روحی و روانی‌اش دچار اختلال شد و بارها دست به خودکشی زد. در همان سال‌ها که با فقر و مشکلات روحی و روانی دست به گریبان بود شروع به نگارش کتاب هری‌پاتر کرد و در حال حاضر وی یکی از ثروتمندترین زنان دنیا است.                                                                    ",داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/101031_53035_normal.jpg
40, خانه‌ی لهستانی,مرجان شیرمحمدی,None,مرجان شیرمحمدی,"۲۷,۰۰۰ ",رادیو گوشه,۱۳۹۸/۰۶/۲۳, فارسی," 632.8 
                        ",«همه مستاجرهایی خانه‌ای که ما توش زندگی می‌کردیم ...» این جمله‌ای است که روی جلد کتاب خانه لهستانی‌ها نوشته است. خانه لهستانی‌ها نوشته مرجان شیرمحمدی است که با روایتی جالب ما را به حال و هوای خانه‌ای پر از رمز و راز می‌برد.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/93409_53771_normal.jpg
41, هری پاتر و شاهزاده دو رگه,جی.کی رولینگ,ویدا اسلامیه,آرمان سلطان‌زاده,"۱۲۰,۰۰۰ ",آوانامه,۱۴۰۰/۱۰/۰۱, فارسی," 2071.71 
                        ",دنیای جادوگری همیشه دنیایی جذاب و خواندنی بوده است. تفسیر کردن این فضا و روایت آن هم بسیار جذاب است. اگر این کار را ماهرانه انجام دهید، طرف‌داران زیادی پیدا خواهید کرد. ,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/125311_25599_normal.jpg
42, خرمگس,اتل لیلیان وینیچ,حمیدرضا بلوچ,آرمان سلطان‌زاده,"۴۸,۰۰۰ ",آوانامه,۱۳۹۸/۰۶/۲۷, فارسی," 793.26 
                        ",ادبیات در قرن نوزدهم خودبه‌خود با سیاست و مسائل اجتماعی درهم‌پیچیده است. در زمانه‌ای که بیشتر اروپا در ناآرامی به سر می‌برد داستان‌های نویسندگان حال و هوای زمانه‌شان را منتقل می‌کند. اتل لیلیان ویلیچ نیز در شاهکارش، خرمگس زمانه‌ای غریب در ایتالیا را تصویر کرده است. خرمگس کتاب جذابی است که لذت ادبیات را به خواننده می‌چشاند و او را وادار می‌کند تا کتاب را به پایان نرسانده از آن دست نکشد.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/93836_66549_normal.jpg
43, زوربای یونانی,نیکوس کازانتزاکیس,محمود مصاحب,آرمان سلطان‌زاده,"۵۱,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 887.15 
                        ",«من از وقتی‌که سنتور زدن آموخته‌ام آدم دیگری شده‌ام. وقتی غمی به دلم نشسته یا در زندگی عرصه بر من تنگ‌شده باشد سنتور می‌زنم و حس می‌کنم که سبک‌تر ‌می‌شوم. وقتی به سنتور زدن مشغولم با من صحبت هم بکنند چیزی نمی‌شنوم و اگر هم بشنوم نمی‌توانم حرف بزنم. البته دلم می‌خواهد اما نمی‌توانم». این‌ها جملاتی است که الکسیس زوربا در بخشی از کتب زوربای یونانی می‌گوید. زوربای یونانی کتابی کم‌نظیر و جذاب درباره‎‌ی فلسفه‌ی زندگی است که نیکوس کازانتراکیس نویسنده‌ی یونانی قرن بیستم آن را نوشته و در طی سال‌ها این اثر به یکی از مشهورترین آثار ادبیات جهان تبدیل‌شده است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/86397_43783_normal.jpg
44, من پیش از تو,جوجو مویز,مریم مفتاحی,گروه گویندگان  ،                                                                                                             مریم پاک ذات,"۵۱,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۷, فارسی," 951.35 
                        ",من پیش از تو به ظاهر یک داستان عاشقانه و خانوادگی است؛ اما مهم‌ترین تعریفی که از این کتاب می‌توان داشت این است که جوجو مویز نویسنده این رمان، داستان شجاعت و تلاش پایدار برای تغییر مسیر زندگی را روایت می‌کند. نثر مویز در این رمان طنازانه و صمیمی و در عین حال خوش‌خوانی است. عشق و دلدادگی در بستر مشکلات و حوادث همان چیزی است که این کتاب را تبدیل به یکی از محبوب‌ترین‌ها و پرفروش‌ترین‌ها کرده است.,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/82149_12470_normal.jpg
45, ۱۹۸۴,جورج اورول‌,صالح حسینی,آرمان سلطان‌زاده,"۴۳,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۶, فارسی," 732.47 
                        ",«آیا ممکن است شرایط به‌گونه‌ای تغییر کند که انسان آرزو‌هایش برای آزادی، شرافت، کمال و عشق را فراموش کند؟‌»,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/82131_43897_normal.jpg
46, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۸/۱۷, فارسی," 40.74 
                        ","
                                    گرامافون مجموعه‌ای است از قصه‌های عامیانه‌ی ایران که «شرمین نادری» آن‌ها را جمع‌آوری و بازنویسی کرده و با صدای خاطره‌انگیز «بهرام شاه‌محمدلو» اجرا شده‌اند. قصه‌هایی کوتاه از تمام اقوام و نواحی ایران.

** این قصه‌ها ممکن است برای گروه‌های سنی کودکان مناسب نباشد.

تاماسب، هیزم‌شکن جوان که هر روز به دشت و صحرا می‌رفت، روزی حین پایین آمدن از کوه در چاهی سقوط کرد. اما تا به خودش آمد متوجه شد که تعداد بی‌شماری مار، به پاهای او پیچیده‌اند. در همین وقت با «شامارن» روبرو شد، شاه ماران. همینجا است که عشقی بین تاماسب و شاماران شکل می‌گیرد.
اما ماجرای شاماران و تاماسب به کجا رسید؟                                                                    ",داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/122750_66609_normal.jpg
47, بامداد خمار,فتانه حاج سید جوادی(پروین),None,شیما درخشش,"۵۴,۰۰۰ ",آوانامه,۱۳۹۸/۱۲/۱۲, فارسی," 1005.29 
                        ","
                                    فتانه حاج سید جوادی (پروین) در آغاز سخن از لسان‌الغیب حافظ شیرازی مدد می جوید و کتاب خود را با این بیت آغاز می‌کند:
دیدی ای دل که غم یار دگر بار چه کرد چون بشد دلبر و با یار وفادار چه کرد
وی در کتاب پر مخاطب «بامداد خمار» که به چاپ شصت و یکم رسیده است به روابط اجتماعی مانند عشق، مرگ، نفرت، پیچیدگی‌های روابط انسانی و... که همیشه از مسائل و دغدغه‌های زندگی ما هستند می‌پردازد. این اثر داستان زندگی دختری به نام محبوبه است که در سال‌های پایانی عمر، آن را برای برادرزاده‌اش سودابه تعریف می‌کند. سودابه که همه معتقدند شباهت زیادی به عمه‌اش دارد به عقیده‌ی پدر و مادرش در آستانه‌ی ازدواجی احساسی و عجولانه قرار گرفته است. آن‌ها از سودابه خواسته‌اند داستان عمه‌اش را بشنود و سپس تصمیم بگیرد. محبوبه داستان عاشقی خودش را که در اولین سال‌های حکومت رضاشاه در ایران اتفاق افتاده است، تعریف می‌کند؛ داستان عشق دختری از خانواده‌ای فرهیخته به شاگرد نجاری به نام رحیم. محبوبه از پافشاری خودش برای این ازدواج می‌گوید و آنچه بر سر این ازدواج آمده است را روایت می‌کند. نویسنده در کتاب «بامداد خمار» از طرح داستان در داستان پیروی می‌کند و با مهارت خود توانسته پیوستگی اصلی داستان را حفظ کند. خانم سید جوادی در مصاحبه‌ای خاطر نشان می‌کند که نام کتاب را از این بیت از سعدی «به راحت نفسی، رنج پایدار مجوی/شب شراب نیرزد به بامداد خمار» انتخاب کرده‌است. این کتاب پرمخاطب به چند زبان دیگر هم ترجمه شده است.

با پروین آشنا شوید
فتانه حاج سید جوادی با نام هنری پروین در سال ۱۳۲۴ در کازرون دیده به جهان گشود. در سنین جوانی تحصیل در رشته زبان انگلیسی را انتخاب کرد. وی از کودکی به نویسندگی علاقه داشته و در ۵۰ سالگی دست به قلم شد و پرفروش‌ترین کتاب سال ۱۳۷۴، «بامداد خمار» را روانه بازار کرد. اثر دیگر این نویسنده مشهور اما کم‌کار «در خلوت خواب» است که سال ۱۳۷۷ منتشر شد.

برشی از کتاب
- بهار بود. نسیم بهاری بود. بوی شب بوها در گلدان بود. گل‌های شوخ‌چشم و زرد و بنفشه بود. صدای ساییده‌شدن برگ درخت‌های چنار در اثر باد بهاری بود و آواز قمر بود. آواز قمر.
- خندید و من خوشحال شدم. دندان‌هایش ردیف و سفید و محکم بود. مثل این که مشکل فقط دندان‌های او بود که کمتر از دندان‌های پسر عطاالدوله نبودند. قربان قدرت خدا بروم. این شاگرد نجار در این دکان کوچک چه‌قدر زیباتر از پسر محترم و زیبای شازده‌خانم می‌نمود. یا شاید به چشم من این‌طور بود. الحق که جای او این نبود. جای او در کاخ پادشاهی بود.                                                                    ",داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/97015_18284_normal.jpg
48, ربکا,دافنه دوموریه,صدف محسنی,بهناز جعفری  ،                                                                                                             رضا عمرانی  ،                                                                                                             سارا بهرامی,"۵۰,۰۰۰ ",ماه آوا,۱۴۰۰/۱۱/۰۱, فارسی," 686.03 
                        ","رمان عاشقانه ربکا یکی از مهم‌ترین کتاب‌های عاشقانه کلاسیک ادبیات جهان است. دافنه دوموریه با انتشار این اثر در سال 1934 نام خودش را به عنوان نویسنده‌ای ماندگار در تاریخ ادبیات ثبت کرد. 
خلاصه داستان ربکا؛ قصه‌ی دختری جوان ندیمه‌ی خانم وان هارپر است که دائم در حال سفر به دور دنیاست. در یکی از سفرهای هارپر به هتلی ییلاقی،‌ ندیمه او با مردی ثروتمند و جذاب به نام ماکسیم دووینتر آشنا می‌شود و مدتی بعد بر خلاف هنجارهای اجتماعی آن دوران ماکسیم از ندیمه خواستگاری کرده و آن‌ها با هم ازدواج می‌کنند. ماکسیم ندیمه سابق و همسر فعلی‌اش را به قصر بزرگش یعنی ماندرلی می‌برد. دختر در آن‌جا با ماجرای پر پیچ و خم و جالب همسر سابق ماکسیم یعنی «ربکا» آشنا می‌شود و به خاطر ارادت دیگر اشخاص قصر به ربکا دختر جوان کم‌کم مرعوب شخصیت ربکا می‌شود و این آغاز کشف و شهود اوست. 
این کتاب به شیوه‌ای کاملا نو و با انتخاب راوی غیرمعمول در ادبیات کلاسیک جهان نوشته شده که بر جذابیت‌های آن افزوده است. خوانندگان در شروع این رمان با یکی از جذاب‌ترین شروع‌های رمان رو به رو می‌شوند. 
ربکا با این جمله شروع می‌شود:
«دیشب خواب دیدم به ماندرلی برگشته‌ام. انگار کنار در باغ ایستاده بودم و تا مدتی نمی‌توانستم وارد شوم، چون راهم را بسته بودند. در عالم رویا دربان را صدا زدم ولی جوابی نشنیدم. وقتی از میان میله‌های زنگ زده در نگاه کردم، دیدم که اتاق دربان متروک بود.»
چنین آغاز رمانی پیش از این سابقه نداشته و رمان‌های عاشقانه کلاسیک با توصیف رویای شخصیت اصلی شروع نمی‌شوند که این خود بدعتی در زمینه روایت محسوب می‌شود.
از رمان عاشقانه ربکا ترجمه‌های گوناگونی منتشر شده که از بهترین ترجمه‌های ربکا می‌توان به ترجمه صدف محسنی از نشر پارسه اشاره کرد که از روی همین کتاب، سریال صوتی ربکا نیز تولید شده است. 
همچنین از رمان ربکا اقتباس‌های سینمایی و تئاتری زیادی نیز صورت گرفته که از جمله مشهورترین آن‌ها می‌توان به اقتباس فیلم Rebecca آلفرد هیچکاک کارگردان بزرگ سینما اشاره کرد. ",داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/126233_69347_normal.jpg
49, بالاخره یه روزی قشنگ حرف می‌زنم,دیوید سداریس,پیمان خاکسار,هوتن شکیبا,"۴۰,۰۰۰ ",رادیو گوشه,۱۴۰۰/۰۷/۲۶, فارسی," 1069.01 
                        ",همیشه کتاب‌ها قرار نیست درباره‌ی چیزهای مهم و قلمبه سلمبه باشند، گاهی کتاب‌ها فقط نوشته می‌شوند که آدم‌ها را بخندانند. نوشته‌های دیوید سداریس، طنزنویس آمریکایی هم در این دسته قرار می‌گیرند. او روایتگر ماهری است و بلد است خنده را روی لب‌های خوانندگانش بیاورد و آن‌ها را از بند زمان و مکان خارج شد. بالاخره یه روزی قشنگ حرف می‌زنم یکی از بهترین کتاب‌های این نویسنده است. کتابی که خوانندگان زیادی در سراسر جهان دارد. ,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/121763_18191_normal.jpg
50, صد سال تنهایی,گابریل گارسیا مارکز,بهمن فرزانه,مهدی پاکدل,"۴۲,۰۰۰ ",نوین کتاب,۱۳۹۷/۰۴/۱۵, فارسی," 966.86 
                        ",صد سال تنهایی,داستان و رمان آمریکای جنوبی,https://newcdn.fidibo.com/images/books/81989_38976_normal.jpg
51, دختر پرتقالی,یوستین گوردر,مهوش خرمی‌‌پور,آرمان سلطان‌زاده,"۳۱,۰۰۰ ",آوانامه,۱۳۹۸/۱۲/۲۴, فارسی," 304.3 
                        ","
                                    فلاسفه در طول تاریخ در پی پاسخ به این پرسش بوده‌اند که بشر از کجا آمده، به کجا می‌رود و سرانجامش چه می‌شود. پرسش‌هایی از این دست سبب شد مباحث پیچیده‌ای شکل بگیرد که اکثر انسان‌ها در درک آن دچار مشکل شوند. در سال‌های اخیر نویسندگان و اساتید فلسفه بر آن شدند تا این مباحث پیچیده را در قالب داستان و به صورت سهل و آسان در اختیار مخاطبان خود قرار دهند که می‌توان «یوستین گوردر» را در این دسته جای داد. وی بعد از انتشار کتاب «دنیای سوفی» کتاب «دختر پرتقالی» را روانه بازار کتاب کرد تا به سوالات دیگری در باب فلسفه بپردازد. در این کتاب داستان پسر پانزده‌ ساله‌ای مطرح می‌شود که به‌طور اتفاقی به دست‌نوشته‌ای از پدرش برمی‌خورد. در حالی که پدرش ۱۱ سال پیش به دلیل ابتلا به بیماری صعب‌العلاجی از دنیا رفته و در آستانه مرگ، نامه‌ی دور و درازی برای پسرش از خود به جا گذاشته‌است. به گفته مادرش، بیشترین غم و اندوه پدر در آستانه مرگ این بوده‌است که پیش از آن‌که بتواند پسرش را بشناسد باید بمیرد. دختر پرتقالی در واقع گفتگوی فلسفی و شاعرانه بین این پدر و پسر است که در دو زمان مختلف زیسته‌اند. پدر ماجرای آشنایی با دختری را به شیوه‌ای جذاب برای پسرش بازگو می‌کند. پسر با خواندن یادداشت‌های پدرش دید جدیدی نسبت به زندگی پیدا می‌کند.

برشی از کتاب
داستان دختر پرتقالی در بعد از ظهری شروع شد که من جلوی تئاتر ملی منتظر اتوبوس ایستاده بودم. اواخر دهه ۱۹۷۰ و آخر پاییز بود. هنوز به یاد دارم که در فکر پذیرفته شدنم در دانشکده‌ی پزشکی بودم؛ احساس عجیبی داشتم. در این فکر بودم که روزی یک پزشک واقعی می‌شوم و بیمارهایی خواهم داشت که سرنوشت‌شان را به دست من می‌سپارند. خودم را با یک روپوش سفید در پشت میز تحریری بزرگ مجسم می‌کردم که در حال حرف زدن با بیمارانم... در این میان بالاخره اتوبوس از راه رسید، از دور آن را می‌دیدم...                                                                    ",داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/97162_84805_normal.jpg
52, ناطور دشت,جی دی سلینجر,مریم صالحی  ،                                                                                                             مهدی آذری,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۹/۱۰, فارسی," 409.73 
                        ",نام سلینجر نویسنده انزوا دوست آمریکایی به رمان ناطور دشت گره خورده است. او در این رمان به خوبی توانسته زندگی جوانان بعد از جنگ در امریکا را به تصویر بکشد. هولدن کالفید شخصیت اول این داستان به قدری خوب پرداخته شده که نام او بعد از خواندن این کتاب هرگز از ذهن پاک نمیشود. هولدن کالفید حالا یک شخصیت معروف و محبوب در دنیای ادبیات است و تبدیل به یک نماد از تنهایی و سرگشتگی شده است.,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/87369_48126_normal.jpg
