,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
27,هربار که معنی زندگی را فهمیدم، عوضش کردند,دانیل مارتین کلاین,حسین یعقوبی,"۲۳,۰۰۰ ", چشمه," ۳۸,۰۰۰ ",۱۳۹۶/۰۷/۱۵, فارسی," 1 
                        "," ۱۶۲ 
                            ",978-600-229-813-3,در کتاب «هر بار که معنی زندگی را فهمیدم، عوضش کردند» بسیاری از فیلسوف‌های کلاسیک و مدرن، از اپیکور گرفته تا کامو، همه دور هم جمع شده‌اند تا درک جدیدی از زندگی و روزمره‌های آن به ما بدهند. «دانیل مارتین کلاین» در این کتاب با استفاده از  تجربیات و دانش آکادمیک خود سعی کرده چهره‌ی جدیدی از فلسفه را به مخاطبان نشان دهد. در این کتاب بیشتر تمرکز نویسنده، روی فلسفه‌ی غرب است و از فلسفه‌ و مکاتب شرقی چندان حرفی نزده است، به جز اشاراتی کوتاه به بودا و عرفان شرقی.  کلاین با این که تمام تلاشش را می‌کند تا از طریق منطق و عقل به معنای زندگی دست پیدا کند، باز هم به مسائل معنوی می‌رسد. به همین دلیل در کتابش ردپای مذهب و آیین‌های مختلف هم دیده می‌شود. تا جایی که فیلسوف‌های مدرنی که به خدا اعتقادی ندارند را نقد می‌کند و جوابیه‌های محکمی به این افراد می‌دهد. درواقع جستجوی معنا و مفهوم زندگی، هدف اصلی نویسنده و انگیزه‌ی او برای نوشتن این کتاب است. پیش از این «یوستین گوردر» در کتاب «دنیای سوفی» با ابتکار زیاد فلسفه را به زبانی شیرین و آسان بازگو کرده بود. برای کسانی که همیشه در درک فلسفه و مکاتب عجیب و غریب آن سردرگم می‌شوند، خواندن چنین کتاب‌هایی راه‌گشا و راهنمای خوبی برای شروع مطالعات فلسفی هستند.,فرهنگ و زندگی ,https://newcdn.fidibo.com/images/books/81742_48382_normal.jpg
28,هفت اصل موفقیت در ازدواج و زناشویی,جان گاتمن,سید مرتضی نظری,"۳۵,۰۰۰ ", اندیشه معاصر," ۹۵,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 3.77 
                        "," ۴۶۴ 
                            ",978-600-5996-07-4,"
                                    جان گاتمن در امر مطالعه زندگی زناشویی انقلابی به وجود آورده است. وی با استفاده از راهکارهای علمی، نگاهی جدید به عادات زوجین متاهل می اندازد و پس از سال ها کار علمی و عملی تئوری های خود را با جزئیات کامل در این اثر تقدیم شما می‌کند. کتاب هفت اصل موفقیت در ازدواج و زناشویی زوجین را به بزرگراهی منتهی به رابطه ای هماهنگ و دائمی رهنمون می‌کند و آنها را در رسیدن به بالاترین سطح بالقوه یاری می‌کند.                                                                    ",سبک زندگی,https://newcdn.fidibo.com/images/books/3501_98135_normal.jpg
29,مادران سمی و آسیب‌های وارد به دختران,سوزان فوروارد,مینا فتحی,"۲۴,۰۰۰ ", لیوسا," ۵۱,۰۰۰ ",۱۳۹۸/۱۰/۱۵, فارسی," 1.95 
                        "," ۳۳۶ 
                            ",978-600-340-182-2,"
                                    اگر شما در کنار مادری بی‌مهر، سختگیر، نادان و دارای مشکلات شخصیتی پرورش یافته باشید، میراث روانی و رفتاری به‌جا مانده از او، همواره چون سایه‌ای در مشکلاتی که روزانه با آنها مواجه هستید، حضور دارد. به همین منوال آثار این آسیب‌ها در روابط عاطفی یا دوستانه‌تان با دیگران نیز آشکار است و همچنین در مسیر پرورش اعتمادبه‌نفس و احترام به خود، مخل راه شما می‌شود.
من درک می‌کنم که شما ممکن است ناامید، دلسرد، مأیوس و سردرگم باشید، اما در این کتاب با یکدیگر درمورد مسائلی چون اعتمادبه‌نفس و احساس دوست داشتنی‌بودنِ از کف رفته‌ی شما کار می‌کنیم تا آنها را بی‌تعارف بررسی و ریشه‌یابی کنیم. این کتاب قدم‌به‌قدم شما را هدایت خواهد کرد تا واقع‌گرایانه رابطه‌ی خود را با مادرتان و خودتان بازسازی کنید و بتوانید زخم‌هایی را که این‌همه درد و آسیب برای شما به همراه داشته است، تشخیص دهید و درمان کنید.
در ابتدا باهم نگاهی نزدیک و صادقانه به رفتارهای غلط مادرتان و تأثیری که در شما داشته است، می‌اندازیم و همچنان که جلو می‌رویم، الگوهای رفتاری او و همین‌طور شما را بررسی می‌کنیم. شما در این کتاب راهکارهای مؤثر را می‌آموزید که موجب تغییر و تحول در آن‌دسته از باورها و رفتارهای شما می‌شود که نقش بازدارنده را در زندگی‌تان دارد. این کتاب به شما کمک خواهد کرد- شاید برای اولین‌بار ـ که درک درستی از عشق پدرومادر یا هر فرد دیگری در زندگی‌تان به‌دست آورید و این ملاک و محکی قدرتمند و قابل اعتماد در دستان شما برای بازسازی زندگی و تصمیم‌گیری‌های شما خواهد شد.                                                                    ",خانواده,https://newcdn.fidibo.com/images/books/96714_71948_normal.jpg
30,قوانین روابط موفق,باربارا دی آنجلیس,هادی ابراهیمی,"۱۲,۹۰۰ ", نسل نواندیش," ۲۳,۹۰۰ ",۱۳۸۵/۱۰/۱۵, فارسی," 1.36 
                        "," ۲۳۹ 
                            ",964-412-140-6, ,خانواده,https://newcdn.fidibo.com/images/books/66034_26313_normal.jpg
31,چراغ دل زنت را روشن کن,الن کریدمن,شیرین نوروی  ،                                                                                                             عباس چینی,"۷,۸۰۰ ", البرز," ۱۳,۰۰۰ ",۱۳۷۹/۱۰/۱۵, فارسی," 1.35 
                        "," ۲۶۳ 
                            ",964-442-269-4,آنچه در بالا خواندید نقد و بررسی کتاب چراغ دل زنت را روشن کن اثر الن کریدمن با ترجمه‌ی شیرین نوروری و عباس چینی بود. خرید و دانلود کتاب الکترونیکی این اثر در همین صفحه‌ی فیدیبو امکان‌پذیر است. ,خانواده,https://newcdn.fidibo.com/images/books/5766_77458_normal.jpg
32,هنر برقراری ارتباط,تیچ نات هان,مهین خالصی,"۱۸,۰۰۰ ", ی ققنوس," ۲۵,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 0.86 
                        "," ۱۶۰ 
                            ",978-600-278-113-0,تنهایی مفهومی عمیق و قابل تامل است و می‌توان آن را یکی از قدیمی‌ترین دغدغه‌های بشر به شمار آورد. تنهایی مختص به انسان عصر حاضر نیست و از سال‌ها پیش همراه انسان‎ها بوده و همدم نسل‌های آینده نیز خواهد بود. انسان موجودی اجتماعی خلق شده است و در صورت تنها ماندن، احساس خلا می‌کند. او برای پر کردن این خلا به جامعه روی می‌آورد و به برقراری ارتباط با انسان‌های شبیه و نزدیک به خود می‌پردازد. این مرحله نقطه‌ای برای ورود به دنیای پیچیده‌ی برقرای ارتباط میان انسانهاست,سبک زندگی,https://newcdn.fidibo.com/images/books/6519_29719_normal.jpg
33,چرا مردها دروغ می‌گویند و زنها گریه می‌کنند,"آلن پیز   ،                                                                                             
باربرا پیز",مهدی قراچه‌داغی,"۳,۷۰۰ ", البرز," ۶,۲۰۰ ",۱۳۹۰/۱۰/۱۵, فارسی," 2.08 
                        "," ۲۶۹ 
                            ",964-442-396-8,تفاوت‌های بنیادی که بین مردان و زنان وجود دارد از ابتدای تاریخ همیشه مورد بحث و تحقیقی قرارگرفته‌اند. این بحث در قرن بیستم سبب ایجاد جنبش‌هایی اجتماعی نظیر فمینیسم شد. این جدال در قرن بیستم یک به اوج خود رسید و امروز بیشتر از صدها کتاب درباره‌ی تفاوت و تمایز یا برابری زن و مرد نوشته‌شده است. اما حقیقت این است که زن‌ها و مردها با وجود حقوق انسانی برابر تفاوت‌هایی ژنتیکی، زیستی و روان‌شناختی دارند. آلن و باربارا پیز روانشناسان استرالیایی هستند که سال‌هاست در حوزه‌ی این تفاوت‌ها مشغول تحقیق هستند. ,خانواده,https://newcdn.fidibo.com/images/books/6164_56781_normal.jpg
34,هیچ‌کس آن‌قدر کوچک نیست که نتواند تغییری ایجاد کند,گرتا تونبرگ,الناز فرحناکیان,"۱۰,۰۰۰ ", نون," ۲۵,۰۰۰ ",۱۳۹۸/۱۰/۱۵, فارسی," 1.16 
                        "," ۸۰ 
                            ",978-600-874041-4,"
                                    گرتا تونبرگ در سال ۲۰۰۳ به دنیا آمده است. این نوجوان سوئدی اکنون از سرشناس‌ترین فعالان محیط زیست در دنیا به شمار می‌رود. او تلاش می‌کند با آگاه‌سازی عموم مردم و رهبران سیاسی زمینه را برای اقدامات ضروری و فوری در راستای حفظ محیط زیست و مبارزه با تغییرات اقلیمی فراهم کند. گرتا الهام‌بخش میلیون‌ها نوجوان در سراسر دنیا بوده است تا یک‌صدا از سیاستمداران تقاضا کنند به داد محیط زیست برسند و اجازه دهند «آینده» برای کودکان و نوجوانانِ امروز نیز معنا داشته باشد. هیچ‌کس آن‌قدر کوچک نیست که نتواند تغییری ایجاد کند دعوتی است به تغییر، همین امروز و در همۀ زمینه‌ها.
گرتا تونبرگ گیاه‌خوار است و سوار هواپیما هم نمی‌شود تا به کاهش ردپای کربن کمک کند. او به پاس فعالیت‌هایش جوایز متعددی برده و نامزد جایزۀ صلح نوبل هم شده است.                                                                    ",سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/96287_66795_normal.jpg
35,ایکیگای,"فرانسیس میرالس  ،                                                                                             
هکتور گارسیا",امیرحسین تقی‌لو  ،                                                                                                             میثم کلانتری,"۱۹,۰۰۰ ", گوشه," ۳۸,۰۰۰ ",۱۳۹۷/۱۰/۱۵, فارسی," 1.9 
                        "," ۱۹۲ 
                            ",978-600-94993-9-7,ژاپن صدرنشین نرخ  امید به زندگی در جهان است برخی می‌گویند که دسترسی بالا به بهداشت عمومی، حمایت‌های دولتی و اجتماعی و رژیم غذایی سالم و مناسب باعث شده است که ژاپن بالاترین میزان امید به زندگی را که 88 سال است داشته باشد. اما این تنها قسمت شگفتی‌آور ماجرا نیست، ژاپن بیش از هفتاد هزار سالمند بالای صد سال دارد که یکی از عجیب‌ترین اتفاقات موجود در جهان محسوب می‌شود. برخی از کشورهای اروپایی نیز امید به زندگی بالایی دارند اما تعداد سالمندان بالای صدسالشان حتی به ژاپن نزدیک نیز نمی‌شود. به راستی راز ژاپنی‌ها در داشتن عمر طولانی چیست؟ کتاب ایکیگای در جستجوی پاسخ به این سوال است که چگونه این اتفاق شگفت انگیز رخ داده است.,فرهنگ و زندگی ,https://newcdn.fidibo.com/images/books/90670_82897_normal.jpg
36,هفت عادت نوجوانان موفق,شون کاوی,طیبه امیریان,"۱۰,۰۰۰ ", معیار علم," ۲۰,۰۰۰ ",۱۳۹۰/۱۰/۱۵, فارسی," 6.52 
                        "," ۳۳۶ 
                            ",978-600-5461-26-8,"
                                    من دوست وفادار شما هستم. من بهترین کمک کار یا بدترین سربار بر روی دوش شما هستم. من یا شما را به اوج می‌رسانم و یا اینکه باعث سقوط شما خواهم شد. من کاملاً گوش به فرمان شما هستم. عاقلانه‌ترین کار این است که شما نیمی از کارهایی را که انجام می‌دهید به من محول کنید، آن وقت خواهید دید که من قادر خواهم بود آنها را به سرعت و به درستی انجام دهم.
کافی است شما با من قاطع برخورد کنید، آن وقت است که که من به آسانی مطیع شما خواهم شد. به من نشان دهید که واقعا می‌خواهید کارها چگونه انجام شوند، بعد از کمی آموزش من آن کارها را بصورت خودکار انجام خواهم داد. من خادم همه انسان‌های بزرگ و موفق، و متأسفانه همین‌طور هم، خادم همه افراد شکست خورده هستم. افراد بزرگ و موفق را من ساخته‌ام و افراد شکست خورده نیز نتیجه کار من بوده‌اند.

من عادت هستم.                                                                    ",سبک زندگی,https://newcdn.fidibo.com/images/books/78083_18596_normal.jpg
37,خواهر، برادرهای سازگار,"آدل فابر  ،                                                                                             
ایلین مازلیش",مژگان جهانگیر,"۱۷,۰۰۰ ", قطره,None,۱۳۹۲/۱۰/۰۸, فارسی," 6.64 
                        "," ۲۲۹ 
                            ",978-964-341-060-5,"
                                    «دعوای اونا دیوونه‌ام می‌کنه.»
«بالاخره یا اونا همدیگه رو می‌کشن یا من اونهارو.»
«من با هر کدوم از اونا به تنهایی، خوب کنار می‌آم، ولی وقتی با همند تحمل هیچ کدومو ندارم.»
ظاهرا این مشکل شایع بود و والدین عمیقا آن را حس می‌کردند. هر چقدر بیشتر درباره‌ی دعوای فرزندان صحبت می‌کردیم، بیشتر به علل آن پی می‌بردیم. دو کودک را در نظر بگیرید که برای جلب توجه والدین‌شان با هم رقابت می‌کنند. یکی از آنها، به دیگری به‌خاطر موفقیت‌هایش رشک می‌برد. به علت امتیازاتی که به وی داده می‌شود، از او کینه به دل می‌گیرد. همچنین جرأت نمی‌کند سرخوردگی‌هایش را با کس دیگری جز خواهر یا برادرش تلافی کند.                                                                    ",خانواده,https://newcdn.fidibo.com/images/books/1512_17124_normal.jpg
38,پله پله تا اوج,زيگ زيگلار,مهناز فاتحی,"۲۹,۰۰۰ ", ی ققنوس," ۴۸,۰۰۰ ",۱۳۹۴/۰۱/۱۵, فارسی," 1.55 
                        "," ۲۸۷ 
                            ",978-964-311-095-6,برای رسیدن به قله باید تلاش کرد. سختی‌ها و دشواری‌های مسیر را به جان خرید و به پیروزی یعنی یه فتح قله رسید. این رمز پیروزی افرادی است که با افکار و عقاید و نگرش خود بر مشکلات زندگی پیروز می‌شوند. برای رسیدن به اوج باید با هدف و انگیزه مسیر درست را پیش گرفت. زیگ زیگلار سخنران انگیزشی در کتاب پله‌پله تا اوج به خوانندگان می‌آموزد که چطور با پی‌ریزی پایه‌های موفقیت با اوج کامیابی دست پیدا کنند.,سبک زندگی,https://newcdn.fidibo.com/images/books/6151_45974_normal.jpg
39,دختر جان، خودت باش,ریچل هالیس,معصومه تاجمیری,"۹,۵۰۰ ", یوشیتا," ۳۸,۰۰۰ ",۱۳۹۸/۰۱/۱۵, فارسی," 1.45 
                        "," ۲۰۸ 
                            ",978-622-6412-68-1,"
                                    این کتاب دربارۀ یه مشت دروغ مضرّ و یه حقیقت مهمه. کدوم حقیقت؟ در آخر این شما و فقط شمایید که مسئول این هستید که چه کسی می‌شوید و تا چه اندازه احساس شادی دارید. نکتۀ کلیدی همینه. اشتباه برداشت نکنید. قراره یه عالمه داستان که بامزه یا عجیب یا شرم‌آور یا ناراحت کننده یا دیوونه کننده هستن بگم، اما هرکدوم از اون‌ها به همین حقیقت و نکتۀ مهم مربوط میشن که ارزش داره در پینترست قرار بگیره: فرمون زندگی شما دست خودتونه، اما این حقیقت هرگز قابل باور نیست، مگر این‌که همون اولش دروغ‌هایی که تو مسیر هستن رو بفهمید. این‌که بفهمید خودِ شما هستید که شادی رو انتخاب می‌کنید و این‌که کنترل زندگی‌تون دست خودتونه بسیار مهمه، این یکی از چیزهاییِ که دو دستی اونو نگه می‌داریم و باید همش تو ذهنمون و جلوی چشممون باشه... اما تنها چیزی نیست که باید بفهمید.
همچنین باید تمام دروغ‌هایی که در طول زندگی به خودتون گفتید رو بشناسید و به طور نظام‌مند از بین ببریدشون.
چرا؟ چون تا وقتی که اول جایگاهتون رو نشناسید و نپذیرید، امکان نداره به جای جدیدی برید و به چیز جدیدی تبدیل بشید. خودآگاهی‌ای که بعد از یه کندوکاو خیلی عمیق تو باورهاتون به این‌که کی هستید، به دست بیاد، خیلی با ارزشه. شده تا حالا به این نتیجه برسید که اونقدرها هم که باید خوب نیستید؟ این‌که اونقدری که باید، لاغر نیستید؟ که دوست داشتنی نیستید؟ که مادر خوبی نیستید؟ تا حالا به این نتیجه رسیدید که لایق برخورد بد هستید؟ این‌که هرگز ارزش چیزی رو ندارید؟ همۀ اینها دروغی بیش نیست. تمام دروغ‌ها رو جامعه، رسانه، خانواده‌ای که در اون متولد شده‌ایم یا شفاف و پوست کنده بگم -و پنطیکاستی بودنم رو نشون بدم است- خود شیطان جاودانه کرده‌اند. این‌ها دروغ‌های خطرناکی هستن که حس ارزشمندی و توانایی‌مون رو برای عمل کردن به وظایف‌مون نابود می‌کنن. بد‌ترین چیز دربارۀ این دروغ‌ها اینه که خیلی کم پیش میاد اون‌ها رو بشنویم. خیلی کم پیش میاد دروغ‌هایی که دربارۀ خودمون ساختیم رو بشنویم، چون اونقدر با صدای بلند و مداوم تو گوشمون کردن که مثل یه صدای نامرئی شدن، یه روایت تنفر‌انگیز که هر روز مثل بمب تو سرمون خراب میشن. با این وجود، حتی بودنشون رو نمی‌فهمیم. پیدا کردن دروغ‌هایی که دربارۀ خودمون قبول کردیم کلید رشد و بهتر شدنمونه. اگه موفق به پیدا کردن دلیل اصلی کشمکش‌هامون بشیم و در عین حال همزمان بفهمیم، واقعاً کنترل عواقبش تو دست خودمونه، اون وقته که می‌تونیم کلاً مسیرمون رو عوض کنیم. دلیل کارهایی که من می‌کنم همینه، به همین خاطر تو وب سایتم و دربارۀ این‌که چطور چیزی تزئینی برای دکور بسازید یا با مهربانی فرزندانتون رو تربیت کنید یا پیمان ازدواجتون رو قوی کنید، صحبت می‌کنم. به همین خاطره که دربارۀ سی روش متفاوت تمیز کردن ماشین‌های لباسشویی تحقیق کردم و بعدش اون‌ها رو به دوستام و آشنایانم هم یاد دادم، به همین خاطره که میدونم چه مقداری بالزامیک و مرکبات برای طعم فوق‌العادۀ پات روست لازمه. بی‌چون و چرا با استفاده از موقعیت آنلاینی که در اختیار دارم به موضوعات زیادی می‌پردازم، اما همه‌شون در آخر به چیزی جز اجزای زندگی‌ام نمی‌رسن که قصد دارم به خوبی انجامشون بدم. پست‌هام نشان دهندۀ چگونگی رشدم هستن و یاد می‌گیرم و مایلم این پست‌ها باعث رشد و تشویق خانم‌های دیگه هم بشن. فکر می‌کنم اگه تو خونه تدریس یا بافندگی یا عکاسی یا گره‌بافی انجام می‌دادم، از اون‌ها در جهت تلاش برای بهتر کردن خودم و بالا بردن روحیۀ دوستام استفاده می‌کردم، اما تو اون کارها فعالیتی ندارم و دنبال مسائل سبک زندگی هستم، در نتیجه روی تولید محتوا تمرکز می‌کنم که زیر سایۀ رسانۀ سبک زندگی قرار می‌گیره. البته اوایل که وارد این شغل شدم، متوجه شدم بیشتر خانم‌ها تصورشون از سبک زندگی، چیزیه که باید به اون تشویق بشن. اغلب اون تصورات ناشدنی هستند -دروغ دیگه‌ای که به خورد ما داده شده- بنابراین می‌خوام از همین اول با صداقت جلو برم. قول دادم قابل اعتماد و بی‌ریا رفتار کنم و در ازای هر عکس کاپ کیکِ باشکوهی که تولید کرده‌ام، یه عکسی از خودم با صورت فلج و معیوب به اشتراک گذاشتم. اگه جای با شکوهی مثل مراسم اسکار رفتم، اون رو با پستی دربارۀ تلاش‌هایم برای پایین آوردن وزنم و عکس‌هایی از خودم که هجده کیلو اضافه وزن داشتم متعادل کردم. دربارۀ همۀ این‌ها حرف زدم: دربارۀ کشمکش‌هایی که در ازدواجم داشتم، افسردگی که بعد از زایمان دچارش شدم و احساساتی مثل: حسادت، ترس، عصبانیت، زشتی، بی‌ارزشی، دوست داشته نشدن. سعی کرده‌ام دربارۀ این‌که کی هستم و از کجا اومدم کاملاً حقیقت رو بگم. کاملاً جدی میگم، معروف‌ترین کاری که تا حالا کردم، گذاشتن عکسی از کشیدگی‌هایی که روی پوست شکم افتاده، در اینترنت بوده است. با این وجود... هنوز نوشته‌هایی به دستم میرسه. خانم‌هایی از سرتاسر دنیا هنوز ایمیل می‌فرستن و می‌پرسن، من چطور همه چیز رو کنار هم حفظ می‌کنم، در حالی که اون‌ها در تکاپو و کشمکش برای این کارن. می‌تونم درد رو در این ایمیل‌ها حس کنم. می‌تونم شرم رو در این واژه‌ها حس کنم که برای توصیف سختی‌هاشون از اون استفاده می‌کنن و این قلبم رو به درد میاره. جواب ایمیل‌هاشون رو میدم. به تک‌تک‌شون میگم چقدر زیبا و قوی‌اند. اون‌ها رو دلاور، شجاع و جنگجو خطاب می‌کنم. به اون‌ها میگم که دست از تلاش نکشن. به نظرم بهتره این چیزها به یه آدم کاملاً غریبه گفت؛ اما این همۀ اون چیزی نیست که می‌خوام بگم، چیزی نیست که اگه خواهرم یا بهترین دوستم ناراحت بود به اون می‌گفتم، چیزی نیست که آرزو کنم می‌تونستم وقتی جوون‌تر بودم به خودم بگم، چون از نظر نزدیکانم شخصیتی حمایت کننده و مشوق دارم... اما ابداً دلم نمی‌خواد شاهد غم و اندوه شما باشم... واقعیت اینه که که شما قوی و شجاع و جنگجو هستید، اما اگه این حرف‌ها رو به شما میگم، برای اینه که می‌خوام این ویژگی‌های خودتون رو ببینید. می‌خوام شونه‌هاتون رو تکون بدم تا دندون‌هاتون به هم بخوره. می‌خوام باهاتون سخت برخورد کنم تا جرأت نگاه کردن تو چشمهام رو پیدا کنید و جوابتون رو بفهمید. می‌خوام از ته دلم داد بزنم تا بالاخره این حقیقت مهم رو بشنوید: کنترل زندگی شما تو دست خودتونه. شما فقط و فقط یه شانس برای زندگی دارید و زندگی داره به سرعت می‌گذره. از سرزنش و لعنت کردنش دست بکشید و دیگه اجازۀ این کار رو به دیگران هم ندید. دیگه چیزایی رو که کمتر از لیاقت شما هستن رو قبول نکنید. دست بردارید از خرید چیزی که در توانتون نیست، ولی بخاطر نگاه آدمایی که حتی دوستشون هم ندارید، می‌خرید. به جای این‌که همش احساسات‌تون رو سرکوب کنید، روشون کار کنید. نخواید که با غذا یا اسباب‌بازی یا حتی دوستی نظر بچه‌هاتون رو جلب کنید و صاحب عشق و علاقه‌شون بشید، فقط بخاطر این‌که این کار ساده‌تر از تربیت کردن است. دیگه از جسم و روح‌تون سوءاستفاده نکنید. بس کنید! فقط از این راه بی‌سر وته بیرون برید. قراره زندگی شما سفری از یک مکان منحصر به فرد به مکان منحصر به فرد دیگه‌ای باشه؛ قرار نیست چرخه‌ای از کارهایی باشه که دوباره و دوباره شما رو به همون نقطۀ اول برگردونه. زندگی شما نباید شبیه زندگی من باشه. خدایا، اصلاً زندگی‌تون نباید شبیه زندگی هیچ‌کس دیگه‌ای باشه، بلکه باید حداقل ساختۀ دست خودتون باشه. قراره این کارِ سختی باشه؟                                                                    ",سبک زندگی,https://newcdn.fidibo.com/images/books/92772_13098_normal.jpg
40,کوکولوژی,"ايسامو سايتو  ،                                                                                             
تاداهياكو ناگاوو",چکاد سرامی  ،                                                                                                             شاهين دهقان,"۱۴,۰۰۰ ",ترفند," ۲۵,۰۰۰ ",۱۴۰۱/۰۲/۲۲, فارسی," 0.55 
                        "," ۱۴۴ 
                            ",978-964-7332-84-2,«کوکولوژی» کتابی درباره‌ی باز‌ی‌های جذاب و سرگرم کننده‌ی خودشناسی است. در این کتاب «تاداهیاکو ناگاوو» و «ایسامو ساتیو» چندین بازی کوتاه و جذاب را با استفاده از فضاسازی و بازی با کلمات خلق کرده‌اند و جواب‌های مشخصی هم برای آن‌ها در نظر گرفته‌اند. پاسخ هر سوال بسته به نوع شخصیت و افکاری که دارید متفاوت خواهد بود و جنبه‌های متفاوتی از درونیات شما را آشکار خواهد کرد. هدف آن‌ها از نوشتن این کتاب بررسی این بازی‌ها از دید روان‌شناسی و خودشناسی است. کتاب کوکولوژی با ترجمه‌ی «چکاد سرامی» و «شاهین دهقان» در سال 88 در انتشارات افکار منتشر شده است.,سرگرمی,https://newcdn.fidibo.com/images/books/63005_26548_normal.jpg
41,پاریس,"
 
                                                                                            
گروه نویسندگان ",None,None,زورق,None,۱۳۹۵/۰۷/۰۶, فارسی," 5.17 
                        "," ۲۹ 
                            ",None,"
                                     پاریس را بی‌آنکه دیده باشیم، می‌شناسیم. در فیلم‌ها زیاد دیده‌ایم، در کتاب‌ها تصورش کرده‌ایم. آثار اصلی‌اش را می‌شناسیم.
پاریس برای همه شهری دیرآشناست؛ شهر رویاها؛ شهر عاشقان دنیا و شهر نوستالژی‌های بی‌پایان.
معماری خیره کننده این شهر را می‌توان قدم به قدم، خانه‌ها، باغ‌ها، موره‌ها وبناهای تاریخی‌اش دید. 
پاریس شهر بزرگیست. متروهای قدیمی دارد با دالان‌های تودرتو و طولانی، پله‌های بلند و عمیق که همه‌ی شهر ار به هم وصل می‌کند. ولی پاریس از زیرزمین، آن هم با مترویی قدیمی چندان لطفی ندارن. پاریس را باید از روی زمین دید، با اتوبوس و گاهی پیاده.                                                                    ",گردشگری,https://newcdn.fidibo.com/images/books/62665_53075_normal.jpg
42,بنیادهای چاکرا درمانی,ریدر دایمر,محمود رجبی,"۳۲,۰۰۰ ", افکار," ۶۳,۰۰۰ ",۱۳۸۶/۰۱/۱۵, فارسی," 2.34 
                        "," ۲۱۷ 
                            ",978-964-8910-60-5,کتاب «بنیادهای چاکرادرمانی» اثری از «دیدره دایمر» است که در آن ضمن معرفی و تشریح مفهوم و نوع عملکرد چاکراها، روش‌های تقویت و هماهنگ کردن این چاکراها را هم بیان می‌کند. با تمرین روش‌ها و تمرین‌هایی که در این کتاب آمده، می‌توانید انرژی‌تان را پالوده و خودتان را به حالت عادی برگردانید. در این صورت، بهتر می‌توانید تصمیم بگیرید و آنچه را که باید انجام دهید، به روشنی ببینید. کتاب بنیادهای چاکرادرمانی با ترجمه‌ی محمود رجبی در سال 86 در انتشارات افکار منتشر شده است. ,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/6307_87739_normal.jpg
43,۵  زبان عشق,گری چاپمن,محمد یوسفی,"۵,۰۰۰ ", نوین," ۳۳,۰۰۰ ",۱۳۹۵/۱۰/۰۱, فارسی," 1.13 
                        "," ۱۶۸ 
                            ",978-600-95973-8-3,"
                                    ممکن است به دلیل مشغله‌های روزمره، ابراز عشق را فراموش کنیم. ما تعریف کردن را از یاد می‌بریم، هدیه‌ای به مناسبت عشق نمی‌دهیم، عاشقانه همسرمان را در آغوش نمی‌گیریم. هر آنچه نشان‌دهنده‌ی عشق و علاقه است را یا بیان نمی‌کنیم یا به‌درستی انجام نمی‌دهیم. کتابی که در دست دارید، در مورد بیان و شنیدن عشق است، آن‌هم شفاف. بدون هیچ ترفند یا روانکاوی. فقط به شما می‌آموزد با زبان همسر خود، به او ابراز عشق کنید.
در واقع ایده اصلی کتاب 5 زبان عشق، این است که ما انسان ها، همانگونه که به زبان های مختلفی صحبت می کنیم (فارسی، انگلیسی، چینی و …)، زبان عشقی متفاوتی هم داریم. دکتر گری چاپمن با بررسی و تحقیقات زیادی، به 5 زبان عشق کلی رسیده است. هر کدام از ما تا حدی همه این موارد را داریم ولی بطور خاص، یک یا دو مورد از آنها زبان اصلی عشق ماست. ما فقط در صورتی عشق ابراز شده از طرف مقابلمان را به خوبی دریافت می کنیم که به زبان عشق خودمان ابراز شده باشد.                                                                    ",روابط اجتماعی,https://newcdn.fidibo.com/images/books/99742_33015_normal.jpg
